Part No,Category,SMC LP,CUBIX LP,Description
KQ2L06-U01A,Fitting,78,80.73,"One-TouchFitting,MaleElbowFitting"
KQ2L08-U01A,Fitting,91,94.19,"One-TouchFitting,MaleElbowFitting"
KQ2L08-U02A,Fitting,96,99.36,"One-TouchFitting,MaleElbowFitting"
KQ2L10-U02A,Fitting,122,126.27,"One-TouchFitting,MaleElbowFitting"
AS2201F-01-06SA,Fitting,340,351.9,SPEEDCONTROLLERWITHONE-TOUCHFITTING
AS2201F-01-08SA,Fitting,340,351.9,SPEEDCONTROLLERWITHONE-TOUCHFITTING
AS2201F-02-06SA,Fitting,345,357.08,SPEEDCONTROLLERWITHONE-TOUCHFITTING
AS2201F-02-08SA,Fitting,345,357.08,SPEEDCONTROLLERWITHONE-TOUCHFITTING
AS2201F-02-10SA,Fitting,385,398.48,SPEEDCONTROLLERWITHONE-TOUCHFITTING
AS3201F-03-08SA,Fitting,465,481.28,SPEEDCONTROLLERWITHONE-TOUCHFITTING
AS3201F-03-10SA,Fitting,465,481.28,SPEEDCONTROLLERWITHONE-TOUCHFITTING
AS3201F-03-12SA,Fitting,495,512.33,SPEEDCONTROLLERWITHONE-TOUCHFITTING
KQ2T04-00A,Fitting,112,115.92,One-TouchTeeFitting
KQ2T06-00A,Fitting,112,115.92,One-TouchTeeFitting
KQ2T08-00A,Fitting,125,129.38,One-TouchTeeFitting
KQ2T10-00A,Fitting,151,156.29,One-TouchTeeFitting
KQ2T12-00A,Fitting,210,217.35,One-TouchTeeFitting
KQ2U04-00A,Fitting,123,127.31,One-TouchY-ShapeFitting
KQ2U06-00A,Fitting,135,139.73,One-TouchY-ShapeFitting
KQ2U08-00A,Fitting,162,167.67,One-TouchY-ShapeFitting
KQ2H04-M5A,Fitting,62,64.17,MaleConnector
KQ2H06-M5A,Fitting,64,66.24,MaleConnector
AN10-01,SILENCER,160,165.6,SILENCER
AN15-02,SILENCER,170,175.95,SILENCER
AN30-03,SILENCER,315,326.03,SILENCER
KQ2L12-U04A,One-TouchFitting,177,183.2,One-TouchFitting
KQ2T04-00A1,Fitting,157,162.5,UnionTee
KQ2T06-00A1,Fitting,157,162.5,UnionTee
KQ2T04-06A1,Fitting,137,141.8,DifferentDiameterTee
KQ2UD04-06A,Fitting,198,204.93,DifferentDiameterDoubleUnion
KQ2U04-06A,Fitting,137,141.8,DifferentDiameterUnionY
KQ2U04-M5A,Fitting,132,136.62,BranchY
SY3000-26-9A,SolenoidValve,135,139.73,BlankingPlate
M-3ALU-4,MINIFITTING,115,119.03,Barbelbowforsofttubing
M-5ALU-4,MINIFITTING,165,170.78,Barbelbowforsofttubing
M-3ALU-3,MINIFITTING,115,119.03,Barbelbowforsofttubing
M-5ALU-3,MINIFITTING,165,170.78,Barbelbowforsofttubing
M-3AU-3,MINIFITTING,40,41.4,Barbfittingforsofttubing
M-3AU-4,MINIFITTING,55,56.93,Barbfittingforsofttubing
M-5AU-3,MINIFITTING,40,41.4,Barbfittingforsofttubing
M-5AU-4,MINIFITTING,40,41.4,Barbfittingforsofttubing
KQ2H02-04A,Fitting,107,110.75,Differentdiameterstraight
ISA2-GG45L,FittingsandTubing,10790,11167.65,
VT307-5D1-01F,DirectionalControlValves,2050,2121.75,
KQ2H06-U02A,Fitting,56,57.96,
MY1B25-200Z-M9BL,cylinder,13825,14308.88,
ZPT08USK25-B5-A8,VacuumPad,3375,3493.13,
MY1C25G-800H-M9BL,cylinder,39945,41343.08,
KQ2H12-00A,Fitting,132,136.62,
KQ2L06-U03A,Fitting,96,99.36,
KQ2H08-10A,Fitting,108,111.78,
KQ2H06-08A,Fitting,84,86.94,
AS2201F-02-06A,FLOWCONTROL,340,351.9,
